open_time,open,high,low,close,volume,target_price,return_1d,ma_3d,ma_7d,vol_3d
2024-01-08,43916.9,47312.0,43158.1,46972.7,495087.983,46114.0,0.06958141398869211,44006.333333333336,44031.75714285714,1317.5666666666657
2024-01-09,46972.6,48100.0,44417.2,46114.0,513362.773,46662.9,-0.018280831206211157,44948.76666666666,44423.54285714286,1968.866666666666
2024-01-10,46113.9,47699.3,44291.5,46662.9,668657.474,46337.8,0.011903109684694435,45667.86666666666,44585.57142857143,2922.033333333335
2024-01-11,46663.0,49027.5,45600.0,46337.8,596698.379,42788.9,-0.006966990907123161,46583.200000000004,45130.34285714286,3748.1666666666692
2024-01-12,46337.9,46536.2,41370.0,42788.9,575943.258,42846.4,-0.07658758076559524,46371.56666666667,45443.77142857143,3506.033333333335
2024-01-13,42789.0,43273.4,42445.7,42846.4,207737.326,41734.9,0.0013438064544777362,45263.200000000004,45249.985714285714,4000.5
2024-01-14,42846.4,43096.1,41713.5,41734.9,181096.968,42515.0,-0.025941502670002614,43991.03333333333,45091.37142857142,3140.466666666667
2024-01-15,41734.9,43376.0,41720.0,42515.0,240059.141,43133.0,0.018691790324165014,42456.73333333333,44779.65714285715,2458.8333333333335
2024-01-16,42515.0,43589.0,42050.0,43133.0,287207.233,42783.4,0.014536046101375932,42365.433333333334,44142.84285714286,1288.7666666666676
2024-01-17,43133.0,43198.0,42200.0,42783.4,209396.081,41323.1,-0.008105163100178503,42460.96666666667,43716.985714285714,1525.866666666666
2024-01-18,42783.3,42932.3,40673.6,41323.1,335080.756,41662.2,-0.03413239714468708,42810.46666666667,43162.77142857143,1397.6666666666667
2024-01-19,41323.2,42197.0,40300.0,41662.2,345941.73,41691.8,0.008206063920664253,42413.166666666664,42446.385714285716,1598.5666666666682
2024-01-20,41662.1,41883.5,41453.6,41691.8,95866.062,41580.0,0.0007104761630447598,41922.9,42285.42857142857,1717.9000000000015
2024-01-21,41691.8,41880.9,41500.0,41580.0,67035.552,39567.0,-0.002681582469454491,41559.03333333333,42120.485714285714,1528.5333333333353
2024-01-22,41579.9,41692.3,39402.0,39567.0,459024.106,39890.0,-0.04841269841269846,41644.666666666664,42098.357142857145,902.6000000000009
2024-01-23,39567.1,40172.7,38545.0,39890.0,414373.386,40078.7,0.008163368463618648,40946.26666666667,41677.21428571428,1033.7000000000019
2024-01-24,39889.9,40560.6,39493.3,40078.7,272754.171,39953.3,0.004730508899473573,40345.666666666664,41213.92857142857,1432.9666666666672
2024-01-25,40078.8,40300.0,39535.3,39953.3,203728.679,41806.4,-0.003128843999430919,39845.23333333333,40827.54285714286,1661.7666666666653
2024-01-26,39953.3,42239.3,39813.1,41806.4,355418.478,42102.2,0.04638165057704868,39974.0,40631.857142857145,1153.23333333333
2024-01-27,41806.4,42187.1,41360.1,42102.2,118437.114,42021.2,0.007075471698113178,40612.799999999996,40652.45714285714,1419.399999999999
2024-01-28,42102.2,42836.0,41600.0,42021.2,205736.453,43287.7,-0.0019238899629948625,41287.299999999996,40711.08571428572,1339.3000000000004
2024-01-29,42021.2,43340.8,41768.3,43287.7,249502.11,42918.3,0.030139548608797417,41976.6,40774.114285714284,1496.4000000000015
2024-01-30,43287.6,43888.0,42665.6,42918.3,257582.784,42560.5,-0.00853360192387198,42470.36666666667,41305.642857142855,1211.8333333333333
2024-01-31,42918.3,43748.6,42257.6,42560.5,313069.11,43072.6,-0.008336770095740076,42742.399999999994,41738.25714285714,1343.633333333334
2024-02-01,42560.5,43288.0,41866.8,43072.6,274321.107,43182.0,0.012032283455316595,42922.166666666664,42092.799999999996,1428.633333333334
2024-02-02,43072.6,43480.0,42512.7,43182.0,205767.574,42992.4,0.0025398977540247447,42850.46666666667,42538.41428571429,1378.1999999999996
2024-02-03,43182.0,43372.2,42858.3,42992.4,89735.22,42570.3,-0.004390718354870038,42938.36666666667,42734.92857142857,1293.1666666666667
2024-02-04,42992.4,43112.1,42176.7,42570.3,127421.548,42692.9,-0.009818014346721693,43082.333333333336,42862.1,967.4666666666648
2024-02-05,42570.3,43580.0,42235.1,42692.9,240655.549,43079.1,0.002879942119270895,42914.9,42940.54285714286,805.5333333333328
2024-02-06,42692.9,43378.8,42559.8,43079.1,196157.643,44326.2,0.009046000623054384,42751.86666666667,42855.57142857143,931.3999999999991
2024-02-07,43079.1,44388.0,42763.4,44326.2,252057.708,45269.1,0.028949072752216143,42780.76666666667,42878.54285714286,1033.100000000001
2024-02-08,44326.3,45600.0,44306.8,45269.1,299738.288,47116.1,0.021271843740271024,43366.06666666666,43130.78571428572,1262.8333333333333
2024-02-09,45269.2,48230.3,45218.1,47116.1,519919.419,47732.6,0.04080045770735441,44224.799999999996,43444.57142857143,1245.5999999999985
2024-02-10,47116.1,48189.6,46836.4,47732.6,179626.604,48303.4,0.013084699285382362,45570.46666666667,44006.58571428572,1976.6666666666667
2024-02-11,47732.6,48600.0,47539.4,48303.4,209951.626,49943.6,0.0119582842753172,46705.93333333333,44683.75714285714,1886.1999999999996
2024-02-12,48303.4,50413.2,47702.0,49943.6,450895.202,49696.4,0.03395620184086412,47717.36666666667,45502.77142857143,1808.6666666666667
2024-02-13,49943.6,50428.8,48301.0,49696.4,382348.085,51823.2,-0.004949583129770341,48659.86666666666,46538.58571428571,1708.333333333331
2024-02-14,49696.4,52100.0,49215.7,51823.2,395191.791,51898.5,0.04279585644030548,49314.46666666667,47483.91428571429,1966.5333333333328
2024-02-15,51823.1,52859.0,51334.9,51898.5,392724.603,52148.6,0.001453017181494154,50487.73333333334,48554.91428571428,2574.4333333333343
2024-02-16,51898.4,52623.0,51611.7,52148.6,259819.793,51679.4,0.004819021744366436,51139.36666666667,49501.97142857143,2178.733333333335
2024-02-17,52148.7,52192.8,50647.5,51679.4,222342.005,52175.9,-0.008997365221693365,51956.76666666666,50220.9,1806.5666666666682
2024-02-18,51679.5,52450.0,51178.0,52175.9,166636.426,51813.8,0.009607309682387877,51908.833333333336,50784.72857142857,1360.2333333333347
2024-02-19,52175.9,52532.9,51688.8,51813.8,196387.978,52297.4,-0.0069399857022111044,52001.299999999996,51337.94285714285,1276.2000000000019
2024-02-20,51813.7,53090.9,50788.0,52297.4,388913.064,51877.8,0.009333420826111993,51889.700000000004,51605.114285714284,1220.4666666666672
2024-02-21,52297.3,52402.3,50528.4,51877.8,308127.301,51316.9,-0.008023343416689865,52095.700000000004,51976.68571428571,1473.0
2024-02-22,51877.9,52130.8,50967.5,51316.9,244144.647,50771.9,-0.010811946535897898,51996.333333333336,51984.485714285714,1673.633333333334
2024-02-23,51316.9,51576.3,50512.7,50771.9,215474.562,51602.1,-0.010620282986696372,51830.700000000004,51901.40000000001,1780.0333333333353
2024-02-24,50771.9,51736.6,50611.4,51602.1,104944.457,51764.9,0.01635156454653064,51322.200000000004,51704.72857142857,1366.9333333333368
2024-02-25,51602.1,52050.0,51300.4,51764.9,122177.26,54511.6,0.0031549103621753005,51230.299999999996,51693.68571428572,1117.3666666666686
2024-02-26,51764.9,54991.8,50922.5,54511.6,393466.231,57074.5,0.053061051021058514,51379.63333333333,51634.97142857143,979.4666666666672
2024-02-27,54511.7,57780.0,54495.0,57074.5,511475.535,62487.9,0.047015681066048254,52626.200000000004,52020.37142857143,1981.366666666666
2024-02-28,57074.5,64300.0,56730.1,62487.9,1010118.442,61203.3,0.09484796187439226,54450.333333333336,52702.81428571429,2701.3000000000006
2024-02-29,62487.9,63762.8,60452.0,61203.3,584713.883,62430.6,-0.020557579947477755,58024.666666666664,54218.54285714286,4974.7333333333345
2024-03-01,61203.3,63199.0,60844.8,62430.6,299231.827,62039.9,0.020052840288023566,60255.23333333334,55630.885714285716,4721.9000000000015
2024-03-02,62430.6,62513.1,61605.0,62039.9,159283.629,63178.5,-0.006258149048703587,62040.6,57296.41428571429,4411.633333333334
2024-03-03,62039.9,63330.9,61339.5,63178.5,200312.503,68296.4,0.018352705275153536,61891.26666666667,58787.52857142857,2191.033333333333
2024-03-04,63178.5,68600.0,62299.0,68296.4,632882.144,63747.4,0.08100698813678697,62549.666666666664,60418.042857142864,1751.2333333333324
2024-03-05,68296.5,69350.0,59112.0,63747.4,1053025.132,66128.1,-0.06660673183359578,64504.93333333333,62387.299999999996,3066.8333333333335
2024-03-06,63747.5,67729.5,62829.3,66128.1,534011.813,66870.0,0.03734583684981674,65074.100000000006,63340.57142857143,6176.8
2024-03-07,66128.0,68101.3,65609.3,66870.0,296092.788,68180.2,0.011219133772178536,66057.3,63860.6,7146.399999999999
2024-03-08,66870.0,70330.8,66120.0,68180.2,459387.207,68360.1,0.019593240616120777,65581.83333333334,64670.12857142857,5876.733333333333
2024-03-09,68180.2,68608.7,67908.7,68360.1,94899.005,69001.8,0.002638595956010903,67059.43333333335,65491.5,3867.6666666666665
2024-03-10,68360.2,69999.8,68155.0,69001.8,233596.523,72153.8,0.009387054729293798,67803.43333333335,66394.3857142857,2467.600000000001
