open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00.000,2283.84,2354.95,2266.67,2354.62,1658563.418,2024-01-01 23:59:59.999,3833607643.67903,1694881,844668.997,1952994085.90657,0
2024-01-02 00:00:00.000,2354.63,2434.49,2335.0,2356.93,3376173.73,2024-01-02 23:59:59.999,8044076762.32824,3261710,1663317.071,3964080369.09200,0
2024-01-03 00:00:00.000,2356.92,2387.48,2067.16,2210.39,4996919.678,2024-01-03 23:59:59.999,11247346123.69518,4672877,2361194.588,5316498482.47451,0
2024-01-04 00:00:00.000,2210.39,2295.55,2202.1,2267.85,2512800.256,2024-01-04 23:59:59.999,5657915952.55511,2713751,1251138.628,2817833669.84854,0
2024-01-05 00:00:00.000,2267.85,2278.16,2206.0,2268.93,2640741.967,2024-01-05 23:59:59.999,5923620087.33033,2917958,1306889.001,2931697194.21693,0
2024-01-06 00:00:00.000,2268.92,2270.34,2215.56,2240.36,1201310.744,2024-01-06 23:59:59.999,2691373219.47519,1575059,588826.987,1319137639.47041,0
2024-01-07 00:00:00.000,2240.36,2257.98,2201.06,2220.87,1609796.697,2024-01-07 23:59:59.999,3600489002.36785,1927429,785012.985,1756032817.61605,0
2024-01-08 00:00:00.000,2220.87,2359.63,2165.43,2331.11,3478939.516,2024-01-08 23:59:59.999,7863706854.16690,3995669,1752179.104,3962436923.55933,0
2024-01-09 00:00:00.000,2331.12,2377.36,2222.44,2344.44,4370510.933,2024-01-09 23:59:59.999,10039664919.16545,4815580,2169557.040,4984959602.11133,0
2024-01-10 00:00:00.000,2344.33,2645.65,2336.28,2585.82,7740895.596,2024-01-10 23:59:59.999,18922026567.58447,8220834,3906703.454,9551421624.39738,0
2024-01-11 00:00:00.000,2585.81,2691.9,2565.69,2618.59,5161427.019,2024-01-11 23:59:59.999,13515735771.84295,6580830,2560104.573,6705295939.41637,0
2024-01-12 00:00:00.000,2618.6,2719.89,2458.38,2523.3,6484996.966,2024-01-12 23:59:59.999,16931186211.05264,7491478,3207075.547,8378289400.00684,0
2024-01-13 00:00:00.000,2523.3,2591.29,2497.79,2578.5,2509197.587,2024-01-13 23:59:59.999,6396752318.68130,3435962,1250328.990,3187901268.72509,0
2024-01-14 00:00:00.000,2578.51,2579.13,2470.0,2474.36,2126298.888,2024-01-14 23:59:59.999,5377127058.63416,2844015,1030119.982,2605581030.25596,0
2024-01-15 00:00:00.000,2474.3,2555.0,2472.04,2512.21,1818558.839,2024-01-15 23:59:59.999,4582971876.58271,2769584,900709.545,2269735533.33003,0
2024-01-16 00:00:00.000,2512.2,2613.8,2500.0,2587.4,2456630.069,2024-01-16 23:59:59.999,6264614166.95275,3431803,1217717.221,3105496591.03239,0
2024-01-17 00:00:00.000,2587.4,2593.01,2505.76,2530.62,2299529.287,2024-01-17 23:59:59.999,5861698853.57950,3138244,1139860.101,2905501276.98739,0
2024-01-18 00:00:00.000,2530.61,2549.99,2428.22,2471.29,2928749.65,2024-01-18 23:59:59.999,7309579149.43542,3725950,1405569.978,3509064047.39776,0
2024-01-19 00:00:00.000,2471.29,2505.16,2415.55,2492.46,2594474.775,2024-01-19 23:59:59.999,6404258356.95563,3421545,1285716.188,3173951338.78877,0
2024-01-20 00:00:00.000,2492.46,2492.46,2453.79,2472.27,938896.162,2024-01-20 23:59:59.999,2321269007.36401,1280394,457646.322,1131445899.51985,0
2024-01-21 00:00:00.000,2472.26,2482.7,2451.0,2457.02,708291.369,2024-01-21 23:59:59.999,1750600706.66527,1031485,346886.488,857430588.03018,0
2024-01-22 00:00:00.000,2457.02,2466.46,2302.21,2314.33,3645112.961,2024-01-22 23:59:59.999,8673726491.18901,4445987,1735853.574,4131651730.55922,0
2024-01-23 00:00:00.000,2314.33,2351.76,2167.5,2241.67,4379161.194,2024-01-23 23:59:59.999,9796897099.56964,4729158,2123892.817,4750275811.08500,0
2024-01-24 00:00:00.000,2241.67,2264.44,2195.0,2234.62,2256073.0,2024-01-24 23:59:59.999,5029982840.98715,2865311,1115253.155,2486611241.73123,0
2024-01-25 00:00:00.000,2234.62,2242.55,2169.04,2218.02,2082826.704,2024-01-25 23:59:59.999,4606164128.97297,2790959,1045420.626,2312102672.07559,0
2024-01-26 00:00:00.000,2218.01,2281.96,2195.15,2266.72,2261609.947,2024-01-26 23:59:59.999,5072599984.48894,2890039,1139833.371,2557000261.48137,0
2024-01-27 00:00:00.000,2266.73,2283.35,2250.33,2266.99,944833.561,2024-01-27 23:59:59.999,2141771562.52407,1386577,457481.418,1037017163.31208,0
2024-01-28 00:00:00.000,2267.0,2308.0,2236.56,2256.0,1596669.122,2024-01-28 23:59:59.999,3632645831.61376,2059388,793452.980,1805730731.27378,0
2024-01-29 00:00:00.000,2256.0,2322.53,2232.0,2316.52,1959261.39,2024-01-29 23:59:59.999,4461192290.02723,2555972,988538.054,2251428131.14256,0
2024-01-30 00:00:00.000,2316.53,2392.84,2295.1,2341.95,2383935.871,2024-01-30 23:59:59.999,5568693641.04369,2836460,1185331.421,2769700488.82839,0
2024-01-31 00:00:00.000,2341.96,2351.23,2261.88,2282.0,2607909.368,2024-01-31 23:59:59.999,6035736969.81903,3194972,1252025.507,2898049726.19403,0
2024-02-01 00:00:00.000,2281.99,2311.51,2237.0,2303.33,1894237.423,2024-02-01 23:59:59.999,4317833942.98259,2337968,940435.700,2144163976.72759,0
2024-02-02 00:00:00.000,2303.32,2324.9,2280.05,2307.99,1514215.851,2024-02-02 23:59:59.999,3488673055.88872,1806684,740719.858,1706901374.01972,0
2024-02-03 00:00:00.000,2308.0,2330.45,2291.0,2295.42,938282.273,2024-02-03 23:59:59.999,2167201213.34462,1257148,458900.307,1060111233.37669,0
2024-02-04 00:00:00.000,2295.41,2311.0,2261.51,2288.66,1193801.655,2024-02-04 23:59:59.999,2738353319.06096,1419294,591695.545,1357444503.88394,0
2024-02-05 00:00:00.000,2288.66,2338.0,2267.62,2300.83,1689233.364,2024-02-05 23:59:59.999,3893676970.00040,2078381,845736.765,1949440827.30549,0
2024-02-06 00:00:00.000,2300.83,2392.0,2297.74,2371.74,2197507.85,2024-02-06 23:59:59.999,5141782514.24530,2430191,1111689.083,2601215214.31397,0
2024-02-07 00:00:00.000,2371.74,2445.0,2352.06,2424.22,2154502.953,2024-02-07 23:59:59.999,5154911271.52630,2471783,1114433.769,2667509239.44873,0
2024-02-08 00:00:00.000,2424.21,2463.28,2410.16,2418.76,1910078.832,2024-02-08 23:59:59.999,4642887417.74590,2217113,956418.231,2325010419.94426,0
