open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00.000,42314.0,44266.0,42207.9,44230.2,206424.144,2024-01-01 23:59:59.999,8897557996.51846,2197331,107259.562,4626093916.74846,0
2024-01-02 00:00:00.000,44230.3,45950.0,44200.9,44979.8,459798.523,2024-01-02 23:59:59.999,20799115632.46685,4584899,226772.856,10258435145.78010,0
2024-01-03 00:00:00.000,44979.7,45582.3,40333.0,42849.5,595855.225,2024-01-03 23:59:59.999,25726152649.43654,5484694,285738.095,12338124587.28819,0
2024-01-04 00:00:00.000,42849.5,44840.8,42625.0,44143.8,333923.098,2024-01-04 23:59:59.999,14582787988.83859,3778259,167326.171,7309089936.81672,0
2024-01-05 00:00:00.000,44143.8,44500.0,42300.0,44145.4,374967.791,2024-01-05 23:59:59.999,16383172715.24129,4299469,186384.897,8145555060.07347,0
2024-01-06 00:00:00.000,44145.3,44214.6,43391.3,43956.7,138542.797,2024-01-06 23:59:59.999,6067670136.35873,1908679,69273.603,3034149465.65284,0
2024-01-07 00:00:00.000,43956.6,44486.9,43557.5,43916.9,180710.714,2024-01-07 23:59:59.999,7960341657.87697,2426450,89031.035,3922357252.97610,0
2024-01-08 00:00:00.000,43916.9,47312.0,43158.1,46972.7,495087.983,2024-01-08 23:59:59.999,22401426143.93918,5552927,252368.827,11423109451.98725,0
2024-01-09 00:00:00.000,46972.6,48100.0,44417.2,46114.0,513362.773,2024-01-09 23:59:59.999,23864636393.45204,5975796,255356.407,11878102002.28864,0
2024-01-10 00:00:00.000,46113.9,47699.3,44291.5,46662.9,668657.474,2024-01-10 23:59:59.999,30628280360.85305,7930762,328241.395,15042252558.57851,0
2024-01-11 00:00:00.000,46663.0,49027.5,45600.0,46337.8,596698.379,2024-01-11 23:59:59.999,28052864785.47425,8147634,294954.120,13871354323.06593,0
2024-01-12 00:00:00.000,46337.9,46536.2,41370.0,42788.9,575943.258,2024-01-12 23:59:59.999,25506347481.11302,7339600,274714.473,12173449742.69040,0
2024-01-13 00:00:00.000,42789.0,43273.4,42445.7,42846.4,207737.326,2024-01-13 23:59:59.999,8903288166.33136,3284308,102338.255,4385856810.87438,0
2024-01-14 00:00:00.000,42846.4,43096.1,41713.5,41734.9,181096.968,2024-01-14 23:59:59.999,7710193172.30398,2586518,86225.908,3672184666.98371,0
2024-01-15 00:00:00.000,41734.9,43376.0,41720.0,42515.0,240059.141,2024-01-15 23:59:59.999,10237828482.80086,3393913,121327.115,5174655656.94734,0
2024-01-16 00:00:00.000,42515.0,43589.0,42050.0,43133.0,287207.233,2024-01-16 23:59:59.999,12326619430.23480,3591913,142496.835,6116162864.94249,0
2024-01-17 00:00:00.000,43133.0,43198.0,42200.0,42783.4,209396.081,2024-01-17 23:59:59.999,8935030009.19649,2896397,104380.600,4454370627.69897,0
2024-01-18 00:00:00.000,42783.3,42932.3,40673.6,41323.1,335080.756,2024-01-18 23:59:59.999,14029461752.96119,4381862,159993.343,6698735621.04958,0
2024-01-19 00:00:00.000,41323.2,42197.0,40300.0,41662.2,345941.73,2024-01-19 23:59:59.999,14252164353.07918,4485546,173561.662,7152194461.29936,0
2024-01-20 00:00:00.000,41662.1,41883.5,41453.6,41691.8,95866.062,2024-01-20 23:59:59.999,3989874076.29828,1350118,47395.270,1972576689.99542,0
2024-01-21 00:00:00.000,41691.8,41880.9,41500.0,41580.0,67035.552,2024-01-21 23:59:59.999,2795034232.08641,1011538,33267.189,1387114417.88662,0
2024-01-22 00:00:00.000,41579.9,41692.3,39402.0,39567.0,459024.106,2024-01-22 23:59:59.999,18601094756.09346,5215198,221559.288,8980786542.59356,0
2024-01-23 00:00:00.000,39567.1,40172.7,38545.0,39890.0,414373.386,2024-01-23 23:59:59.999,16262676717.26893,4996338,206872.825,8120360043.90706,0
2024-01-24 00:00:00.000,39889.9,40560.6,39493.3,40078.7,272754.171,2024-01-24 23:59:59.999,10898797410.02247,3577649,137526.518,5496207538.88882,0
2024-01-25 00:00:00.000,40078.8,40300.0,39535.3,39953.3,203728.679,2024-01-25 23:59:59.999,8134002285.16447,2660878,101721.426,4061761814.52410,0
2024-01-26 00:00:00.000,39953.3,42239.3,39813.1,41806.4,355418.478,2024-01-26 23:59:59.999,14627005545.10650,4170436,183407.862,7545764057.51518,0
2024-01-27 00:00:00.000,41806.4,42187.1,41360.1,42102.2,118437.114,2024-01-27 23:59:59.999,4949330917.72336,1602331,58359.399,2439172746.10856,0
2024-01-28 00:00:00.000,42102.2,42836.0,41600.0,42021.2,205736.453,2024-01-28 23:59:59.999,8694654832.16972,2623969,102732.529,4342295182.27932,0
2024-01-29 00:00:00.000,42021.2,43340.8,41768.3,43287.7,249502.11,2024-01-29 23:59:59.999,10615111402.26071,3264398,126814.070,5396362634.93750,0
2024-01-30 00:00:00.000,43287.6,43888.0,42665.6,42918.3,257582.784,2024-01-30 23:59:59.999,11174336066.69975,3279938,127240.221,5521555765.99806,0
2024-01-31 00:00:00.000,42918.3,43748.6,42257.6,42560.5,313069.11,2024-01-31 23:59:59.999,13443352429.15163,3894405,156366.219,6715650062.85712,0
2024-02-01 00:00:00.000,42560.5,43288.0,41866.8,43072.6,274321.107,2024-02-01 23:59:59.999,11658501786.30592,3366630,137388.932,5840117814.44018,0
2024-02-02 00:00:00.000,43072.6,43480.0,42512.7,43182.0,205767.574,2024-02-02 23:59:59.999,8854896870.13836,2609694,102857.802,4427096388.70144,0
2024-02-03 00:00:00.000,43182.0,43372.2,42858.3,42992.4,89735.22,2024-02-03 23:59:59.999,3867372627.98708,1184516,43576.701,1878320062.99414,0
2024-02-04 00:00:00.000,42992.4,43112.1,42176.7,42570.3,127421.548,2024-02-04 23:59:59.999,5453304864.80739,1639173,61808.732,2645869182.56388,0
2024-02-05 00:00:00.000,42570.3,43580.0,42235.1,42692.9,240655.549,2024-02-05 23:59:59.999,10308099591.89269,3020351,120655.290,5168353034.63723,0
2024-02-06 00:00:00.000,42692.9,43378.8,42559.8,43079.1,196157.643,2024-02-06 23:59:59.999,8429315912.62482,2349996,97614.641,4195174982.26100,0
2024-02-07 00:00:00.000,43079.1,44388.0,42763.4,44326.2,252057.708,2024-02-07 23:59:59.999,10954644814.28782,2929944,130579.297,5675987977.28190,0
2024-02-08 00:00:00.000,44326.3,45600.0,44306.8,45269.1,299738.288,2024-02-08 23:59:59.999,13472865468.76801,3448195,150413.123,6761188131.92740,0
2024-02-09 00:00:00.000,45269.2,48230.3,45218.1,47116.1,519919.419,2024-02-09 23:59:59.999,24408544252.73436,5650447,266454.921,12508255349.16633,0
2024-02-10 00:00:00.000,47116.1,48189.6,46836.4,47732.6,179626.604,2024-02-10 23:59:59.999,8517076446.27700,2285021,91198.273,4324631270.60389,0
2024-02-11 00:00:00.000,47732.6,48600.0,47539.4,48303.4,209951.626,2024-02-11 23:59:59.999,10111698916.38982,2680053,105168.316,5065428436.66205,0
2024-02-12 00:00:00.000,48303.4,50413.2,47702.0,49943.6,450895.202,2024-02-12 23:59:59.999,22160439674.17040,5410318,229461.763,11279389489.43873,0
2024-02-13 00:00:00.000,49943.6,50428.8,48301.0,49696.4,382348.085,2024-02-13 23:59:59.999,18877386934.64820,4735916,187369.079,9252322651.26047,0
2024-02-14 00:00:00.000,49696.4,52100.0,49215.7,51823.2,395191.791,2024-02-14 23:59:59.999,20230765100.11763,4979944,202339.246,10357567701.86297,0
2024-02-15 00:00:00.000,51823.1,52859.0,51334.9,51898.5,392724.603,2024-02-15 23:59:59.999,20470765163.49206,5071385,194206.651,10124718243.08555,0
2024-02-16 00:00:00.000,51898.4,52623.0,51611.7,52148.6,259819.793,2024-02-16 23:59:59.999,13526420001.52013,3599586,129912.166,6763851036.28675,0
2024-02-17 00:00:00.000,52148.7,52192.8,50647.5,51679.4,222342.005,2024-02-17 23:59:59.999,11434408252.82568,2933206,110404.236,5678326211.43959,0
2024-02-18 00:00:00.000,51679.5,52450.0,51178.0,52175.9,166636.426,2024-02-18 23:59:59.999,8636668534.04451,2535098,82558.355,4279808820.87837,0
2024-02-19 00:00:00.000,52175.9,52532.9,51688.8,51813.8,196387.978,2024-02-19 23:59:59.999,10243057368.09604,2984130,97120.200,5065816013.56385,0
2024-02-20 00:00:00.000,51813.7,53090.9,50788.0,52297.4,388913.064,2024-02-20 23:59:59.999,20209071433.34851,4725341,191609.587,9958190682.55356,0
2024-02-21 00:00:00.000,52297.3,52402.3,50528.4,51877.8,308127.301,2024-02-21 23:59:59.999,15814919137.63912,3939518,151274.425,7765226442.49357,0
2024-02-22 00:00:00.000,51877.9,52130.8,50967.5,51316.9,244144.647,2024-02-22 23:59:59.999,12596855772.34223,3185280,120428.135,6213980738.34822,0
2024-02-23 00:00:00.000,51316.9,51576.3,50512.7,50771.9,215474.562,2024-02-23 23:59:59.999,11000943935.52790,2838186,103486.305,5284377929.58768,0
2024-02-24 00:00:00.000,50771.9,51736.6,50611.4,51602.1,104944.457,2024-02-24 23:59:59.999,5375932540.32768,1581717,53616.220,2746901077.96253,0
2024-02-25 00:00:00.000,51602.1,52050.0,51300.4,51764.9,122177.26,2024-02-25 23:59:59.999,6314690489.48664,1737312,61208.274,3163965668.71564,0
2024-02-26 00:00:00.000,51764.9,54991.8,50922.5,54511.6,393466.231,2024-02-26 23:59:59.999,20859521852.00051,4559698,204557.843,10848941110.67955,0
2024-02-27 00:00:00.000,54511.7,57780.0,54495.0,57074.5,511475.535,2024-02-27 23:59:59.999,28943003745.31963,6037486,261279.379,14782114126.33708,0
2024-02-28 00:00:00.000,57074.5,64300.0,56730.1,62487.9,1010118.442,2024-02-28 23:59:59.999,61121395260.18302,10470544,512372.977,31009740327.25936,0
2024-02-29 00:00:00.000,62487.9,63762.8,60452.0,61203.3,584713.883,2024-02-29 23:59:59.999,36342923573.76713,7991451,288332.344,17923415792.93351,0
2024-03-01 00:00:00.000,61203.3,63199.0,60844.8,62430.6,299231.827,2024-03-01 23:59:59.999,18555341528.19973,4242562,149192.047,9251925530.42108,0
2024-03-02 00:00:00.000,62430.6,62513.1,61605.0,62039.9,159283.629,2024-03-02 23:59:59.999,9880073062.42179,2445321,78157.054,4848585077.14658,0
2024-03-03 00:00:00.000,62039.9,63330.9,61339.5,63178.5,200312.503,2024-03-03 23:59:59.999,12480586261.48198,2976490,100689.426,6275449929.04907,0
2024-03-04 00:00:00.000,63178.5,68600.0,62299.0,68296.4,632882.144,2024-03-04 23:59:59.999,41606992664.57328,8622486,315954.494,20769345645.10813,0
